wallet_id,pool_id,reason,metric,value,threshold
0x012b0b539007d424510441e69c6cf6641bf7afed,,negative_value,lp_scores[0].retained_liquidity,-83.97356724277233,0
0x01a62222ed470ee0a8d66349a08212fa478300fc,,negative_value,lp_scores[0].retained_liquidity,-14.20800308957253,0
0x00def9061cf0f1d65b78247585957ff67a72f633,,negative_value,lp_scores[0].retained_liquidity,-415.3859733372592,0
0x0068af72c78b3816f2041857dacecada207c0d1c,,negative_value,lp_scores[0].retained_liquidity,-193.96236461546687,0
0x00502eeab7da6b1033a60e9091bf7ea3cbb4fad6,,negative_value,lp_scores[0].retained_liquidity,-53.69900117418729,0
0x00e073aa7dff400594881ec03c374bb1c312d166,,negative_value,lp_scores[0].retained_liquidity,-199.9054225148493,0
0x00f314973e3968a8900438fe9a72b2ce3d4b8d46,,negative_value,lp_scores[0].retained_liquidity,-146.182168,0
0x0086967faa57e1935a51c9cf38c27dc85be40abd,,negative_value,lp_scores[0].retained_liquidity,-17.625814223050384,0
0x011c79c3f951dc3d26fb08d226b60a7653753a95,,negative_value,lp_scores[0].retained_liquidity,-161.27048794361508,0
0x011cdfa01faaf36654534349bd480772a393a5ff,,negative_value,lp_scores[0].retained_liquidity,-34.71865401424691,0
0x00017f6bd31dcd7857c5aaceeab4cd650d72d0fb,,negative_value,lp_scores[0].retained_liquidity,-827.3687294178362,0
0x000000e335b46c1bce7efa82e0359cb9319b87f6,,negative_value,lp_scores[0].retained_liquidity,-154.23099756142528,0
0x00ac73632914446fa61aa0dacda46e482ec7d485,,negative_value,lp_scores[0].retained_liquidity,-2750.9065796126406,0
0x009f19daf77e153ca607043ea99236eaa88d50da,,negative_value,lp_scores[0].retained_liquidity,-3160.876591,0
0x0029ba34c92bc5b8d06e26549fbb9d71f1817a01,,negative_value,lp_scores[0].retained_liquidity,-417.9680029032159,0
0x00e6f8d8fb80b0c302a6bd849b79982dc9945b15,,negative_value,lp_scores[0].retained_liquidity,-263.7314600281943,0
0x006eb2547a4058a6ad1b08aa4afeadcf094dca39,,negative_value,lp_scores[0].retained_liquidity,-350694.3518512615,0
0x016aaa4f8061324f75bd585d1ae377238cef4186,,negative_value,lp_scores[0].retained_liquidity,-316.5222684566761,0
0x018127f8b8a8d041e7856a725de68ee9cb6a7cec,,negative_value,lp_scores[0].retained_liquidity,-2.2935788791041887,0
0x00899adda769602c9526043158585099bec8829a,,negative_value,lp_scores[0].retained_liquidity,-866.7405930460263,0
0x0036ff0aeda1559b03d50b46db2a7aa13300f223,,negative_value,lp_scores[0].retained_liquidity,-32.122328618821484,0
0x0054a1d1e6722fc00a3e0f5b6f9e9bfa94b75233,,negative_value,lp_scores[0].retained_liquidity,-43.48939569714662,0
0x009f441f07226294f225cdfa10c272dce8017a58,,negative_value,lp_scores[0].retained_liquidity,-0.9936379763223222,0
0x00409fc839a2ec2e6d12305423d37cd011279c09,,negative_value,lp_scores[0].retained_liquidity,-17.63185097794253,0
0x0102db43f54bb626d22ab98d7c72cc4e73b9e76c,,negative_value,lp_scores[0].retained_liquidity,-0.0107606372689588,0
0x00f46f15be03345bd6e5196ed1c62bfa63f9fc3b,,negative_value,lp_scores[0].retained_liquidity,-102.44674479848892,0
0x01af3c594da33d8412ee666aa9274ff02470d9e3,,negative_value,lp_scores[0].retained_liquidity,-21509.042976892837,0
0x011d8c920ca4b5d26617edc7b66e3514488cccd1,,negative_value,lp_scores[0].retained_liquidity,-1297.7609079740068,0
0x02062d31f0ab2557a6674d5702ce2ce0a1be9d05,,negative_value,lp_scores[0].retained_liquidity,-1553.231878488753,0
0x02cb806fca835e35239911532556babe975f2de4,,negative_value,lp_scores[0].retained_liquidity,-4297.748502344897,0
0x02ad7c55a19e976ec105172a75a9d84dc9cf23c6,,negative_value,lp_scores[0].retained_liquidity,-420.1031315089531,0
0x022adb9a86242b97a688d1e602d7ced52e63a000,,negative_value,lp_scores[0].retained_liquidity,-26.841197199700677,0
0x028db21afe82ce2c204d0b7c332fcf32c3e12f42,,negative_value,lp_scores[0].retained_liquidity,-776.920041833655,0
0x01bde69b655c0a89a255a5610725f743f1a5b47d,,negative_value,lp_scores[0].retained_liquidity,-950.318557623742,0
0x0123e230c261e026c476a21fae07de3aa55ac870,,negative_value,lp_scores[0].retained_liquidity,-32.787949963101255,0
0x012feee1af011db48688a990fdeaa9d77090b420,,negative_value,lp_scores[0].retained_liquidity,-1036.6606882150554,0
0x01c571f1611ab5f1fa17a1aab8a84efc6ae519c8,,negative_value,lp_scores[0].retained_liquidity,-21.15031486865905,0
0x01bc8aad10693187a706b0f6aa222b7ebf54d0f0,,negative_value,lp_scores[0].retained_liquidity,-263.63244314299664,0
0x01a2a10ed806d4e65ad92c2c6b10bc4d5f37001e,,negative_value,lp_scores[0].retained_liquidity,-57325.37436622521,0
0x019f5ccfcd559d368148188fb693b4e6a89fd4f0,,negative_value,lp_scores[0].retained_liquidity,-30.1326012599813,0
0x011bf50dc99983311553dc5a1ae7c3316e14cf58,,negative_value,lp_scores[0].retained_liquidity,-375.3713373443416,0
0x01f0e3f71c2aea6621c6e9949c177a07f86536d0,,negative_value,lp_scores[0].retained_liquidity,-6.392174025458871,0
0x013b094fe087c9f2de5712650b588ebf7e5cb3e2,,negative_value,lp_scores[0].retained_liquidity,-4056.1199125186,0
0x02317c852e30cc2afb87a2c8c2ad56385af83679,,negative_value,lp_scores[0].retained_liquidity,-6.7527313035015055,0
0x02356136bb0e20478b7af27cd7c43902270a7849,,negative_value,lp_scores[0].retained_liquidity,-85.29781912962153,0
0x025850309f7ff9230fc213eff97f1467aeb8d591,,negative_value,lp_scores[0].retained_liquidity,-160.69725548731367,0
0x02bce09331ea54acbbb4dd349ae5acb1e0a0676f,,negative_value,lp_scores[0].retained_liquidity,-47.23370000000023,0
0x02029ca38009dd37616b6c8478a38b6f123a6edc,,negative_value,lp_scores[0].retained_liquidity,-4.033800671041774,0
0x012bbe12a2ae93f1f06d3d3ded2a2323ad00fae0,,negative_value,lp_scores[0].retained_liquidity,-0.6283723793459899,0
0x021502a71f1ed419b93b8ae96290a49221b0e945,,negative_value,lp_scores[0].retained_liquidity,-26.79094849123675,0
0x0111574ecf3ba71c3ac44246d62849080d60718d,,negative_value,lp_scores[0].retained_liquidity,-17.55806747934662,0
0x014930c2d8878759763f3ac2a492ff94073fd80f,,negative_value,lp_scores[0].retained_liquidity,-155.18849300000056,0
0x01a372d27394138815b581ef21de566bf8e3ae29,,negative_value,lp_scores[0].retained_liquidity,-34.824093228712286,0
0x0140caa38c721dfaa75fd16a2bb67ecc9aac1b7a,,negative_value,lp_scores[0].retained_liquidity,-356.82276260615254,0
0x01a2b6c749b778053bc81551e23675f0aee641dc,,negative_value,lp_scores[0].retained_liquidity,-2.216715,0
0x01ec64345e62193755454194d16c672a29870b53,,negative_value,lp_scores[0].retained_liquidity,-31.35164461729073,0
0x01d7d5750780103f653771259084f97366b61922,,negative_value,lp_scores[0].retained_liquidity,-309.63006843543366,0
0x012f61b0817dc77e5644c6bb04f482fe798aa0a1,,negative_value,lp_scores[0].retained_liquidity,-5.212410997e-06,0
0x019dd695190dd5fdcf603f80e6ba9e765f5d1799,,negative_value,lp_scores[0].retained_liquidity,-12869.179026457206,0
0x01f4aa373453409de6456505e3b96205adb5d305,,negative_value,lp_scores[0].retained_liquidity,-1.9411556734268425,0
0x027943f870442fe48f51a5e29d215f181b5f9e7d,,negative_value,lp_scores[0].retained_liquidity,-515.4141853362079,0
0x01fa529ef7c3cabc3eb0549e937454ec9255f6c3,,negative_value,lp_scores[0].retained_liquidity,-30.17617309555857,0
0x02efc0988b8a7c94d06156842d61b9de4134af4e,,negative_value,lp_scores[0].retained_liquidity,-21.909061091941265,0
0x02e2b15e8292be234b6f1e29f250f31a0dbf5aab,,negative_value,lp_scores[0].retained_liquidity,-10730.984028571052,0
0x025a0c3714016a370d723bc28d304e800c62c7a6,,negative_value,lp_scores[0].retained_liquidity,-1.3703445897154154,0
0x027ed7f31cd5f54013e3a2a430512b52fed2ac3d,,negative_value,lp_scores[0].retained_liquidity,-36208.48803581286,0
0x01b85f6a9db5575e5e6a73c9ba108e0d77d04dcd,,negative_value,lp_scores[0].retained_liquidity,-39.36148499999999,0
0x015887adae50c4fe9b0ce7bd46a3e45507ff4ada,,negative_value,lp_scores[0].retained_liquidity,-84.1583855321951,0
0x01471b6ba7f260ae6583cf21e9c546eee10f7490,,negative_value,lp_scores[0].retained_liquidity,-36.86566258637481,0
0x0195188c4013ae5febe6705100b8c97b7894f5de,,negative_value,lp_scores[0].retained_liquidity,-12.774929068502606,0
0x015a5586f6e2a97a2ee71e264d706cd82382f3ef,,negative_value,lp_scores[0].retained_liquidity,-927.1966283555184,0
0x011678e84164641529143010d30a1911e86b2565,,negative_value,lp_scores[0].retained_liquidity,-2266.8870095183665,0
0x02c4d95a62595282970973c67f39b2e320ff9e24,,negative_value,lp_scores[0].retained_liquidity,-6.004953074801961,0
0x02a8b15e0d16494c5777d2dc3f26ca48e1c011b4,,negative_value,lp_scores[0].retained_liquidity,-0.1270773388792747,0
0x01f93e81ef4d264cf097d9bd5cda61d33d368a34,,negative_value,lp_scores[0].retained_liquidity,-232.68080972407552,0
0x0205c150e03a7b2dbef101a6edae1fc72c4dd2e3,,negative_value,lp_scores[0].retained_liquidity,-43.01523566280957,0
0x018700c99752c27149010208cd2f81e048957c49,,negative_value,lp_scores[0].retained_liquidity,-51.17161566689492,0
0x01c023446a03afdb5ce87ad987b05a39e0ad4bc6,,negative_value,lp_scores[0].retained_liquidity,-144.45609739543897,0
0x025c6ad1c005e0360193d2d7415a288561e9a0c1,,negative_value,lp_scores[0].retained_liquidity,-0.1854770099999996,0
0x015bfd9b9883b0c9a26a453f78ff8750abcb3915,,negative_value,lp_scores[0].retained_liquidity,-111.16194388495752,0
0x01af02477a95b254886dffa82f26e9f464505368,,negative_value,lp_scores[0].retained_liquidity,-5.8406033654640055,0
0x01daed357831bf9f1954404e0109aa8853e138cc,,negative_value,lp_scores[0].retained_liquidity,-300.682136,0
0x01baa636a99d80c9afe161284bb29ad52b18abf2,,negative_value,lp_scores[0].retained_liquidity,-0.3196052672255405,0
0x020a1bbeb60e58dcbfa6901f082bdd10269ed51b,,negative_value,lp_scores[0].retained_liquidity,-2995.818736507659,0
0x01ae72f01701c5e227ad119b453842c71b039563,,negative_value,lp_scores[0].retained_liquidity,-75.73053841758656,0
0x01db7c18e9c2e74de3d8954ba4984834c0605e60,,negative_value,lp_scores[0].retained_liquidity,-7.59668699021563,0
0x012380f6501e1b6daba5b012bb2c2b22f0320d28,,negative_value,lp_scores[0].retained_liquidity,-120.1440011542345,0
0x01c6ea87e24b199eab79e8edf0f2b60a0b8c434c,,negative_value,lp_scores[0].retained_liquidity,-161.86015837942796,0
0x01ad99cbeda434ec0d56d6d9a79f636bba46bc43,,negative_value,lp_scores[0].retained_liquidity,-47.40901909019885,0
0x02b651cc0d2b7145baad38b05120009555df3147,,negative_value,lp_scores[0].retained_liquidity,-448.6853094806247,0
0x028ba041704644a05d49da2c72cd0ece5f37bc46,,negative_value,lp_scores[0].retained_liquidity,-199504.04259120495,0
0x02381f433de35fb09b519575f019c753388f1cbe,,negative_value,lp_scores[0].retained_liquidity,-49.87553445563845,0
0x01eb314e577e560e2be48912fbccf3c148166b26,,negative_value,lp_scores[0].retained_liquidity,-2.350299413900529,0
0x019331c6d971738bae96bb0b52e4ccdfe4a4f8e9,,negative_value,lp_scores[0].retained_liquidity,-1092.4158814132245,0
0x018c34574f3f9375d3dde92143610a9dce97df6e,,negative_value,lp_scores[0].retained_liquidity,-21036.38595869788,0
0x016f966dc23a685057a0e453f7efb6da01722298,,negative_value,lp_scores[0].retained_liquidity,-99.44677332790138,0
0x01c6bdd02ffaad680fd41f8a77bd9b2aaba6de89,,negative_value,lp_scores[0].retained_liquidity,-504309.6921876688,0
0x0155e2d6400667464fbfbc9bf8af71a8b31650e3,,negative_value,lp_scores[0].retained_liquidity,-180.93918241525532,0
0x027f435daf114317ab8a630e9cfbf7c52465955a,,negative_value,lp_scores[0].retained_liquidity,-34.084303826045165,0
0x0216f17df3d664f72f97f7f669cf72468cba9e37,,negative_value,lp_scores[0].retained_liquidity,-198.42791679923965,0
0x01fb3c115c2eb984c8caf69a1da8e4b64f16d0a3,,negative_value,lp_scores[0].retained_liquidity,-4.214091252660978,0
0x01a62cecd7ea77763ba1a99b6483ddcd653ed99a,,negative_value,lp_scores[0].retained_liquidity,-43337.65387581597,0
0x010da5ff62b6e45f89fa7b2d8ced5a8b5754ec1b,,negative_value,lp_scores[0].retained_liquidity,-1.9816599479814376,0
0x014b1d6580915dafb64ae310c9073b2055d77213,,negative_value,lp_scores[0].retained_liquidity,-264.9238955395631,0
0x013bf86ff897eee99f2d7da72df37bdade611478,,negative_value,lp_scores[0].retained_liquidity,-20.673799999999915,0
0x01b20d8be6a8acf767d7623951f02b11ed75ca3b,,negative_value,lp_scores[0].retained_liquidity,-284.9592461575766,0
0x0149562286fbfa78be52a73fffe55bbd18369e06,,negative_value,lp_scores[0].retained_liquidity,-4.692636,0
0x02eb6ce9fdd6a607ddaf93fa79079392cf58df8d,,negative_value,lp_scores[0].retained_liquidity,-727.8691744680582,0
0x01f8b9484b95f9e118a5b0593e513bdba47ad7da,,negative_value,lp_scores[0].retained_liquidity,-144.97897090770806,0
0x02efce6cb1ae659d0c8226bcfed48a8a1250effa,,negative_value,lp_scores[0].retained_liquidity,-439.80297238436776,0
0x0141dc8db270c642191b686abdd2c6e33699ba14,,negative_value,lp_scores[0].retained_liquidity,-685.4654190446397,0
0x018966b91e862bdaf1d039564690101fd31cda4c,,negative_value,lp_scores[0].retained_liquidity,-14.778794477847836,0
0x021200c44c8761ff786a915d1de5b8f64df46070,,negative_value,lp_scores[0].retained_liquidity,-349.4239659950195,0
0x01f962dcab04af9e40c3adb705f5ea1883c50c78,,negative_value,lp_scores[0].retained_liquidity,-8495.069240168335,0
0x021b1e019f8c10aae692e2eb88b9dd42fcd2210e,,negative_value,lp_scores[0].retained_liquidity,-3.595341257732997,0
0x027ab675f3a0a601e72dc567e8f0b6e20cc63738,,negative_value,lp_scores[0].retained_liquidity,-17.001245904510682,0
0x029b53a5f66f671c9a1090167781e8aa33c94978,,negative_value,lp_scores[0].retained_liquidity,-5.077534000000014,0
0x01402366d9848101f4770d4cddf9b2df3f572760,,negative_value,lp_scores[0].retained_liquidity,-7.067070074393119,0
0x012688be61663ef6a9b7bc7d6b228035ce938147,,negative_value,lp_scores[0].retained_liquidity,-128.3435604667161,0
0x01113829d6441e86071c939484f55fd8a0398ed6,,negative_value,lp_scores[0].retained_liquidity,-968.5128547329072,0
0x015f1180f1d80a54e9fb844902d8f65727ab0f10,,negative_value,lp_scores[0].retained_liquidity,-46.54943340445803,0
